ダウンロードした時刻：2025/04/21 18:39:30,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲
年,月,日,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(時間),平年値(時間),,,,平年値(℃),平年値(℃),,,,平年値(℃),平年値(℃)
,,,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2024,5,23,10.1,8,1,18.2,8,0,8,1,3.3,8,7.4,8,1,7,8,26.3,8,1,23.8,8,15.4,8,1,12.3,8
2024,5,24,10.1,8,1,18.3,8,0,8,1,3.4,8,8.3,8,1,7,8,24.4,8,1,23.9,8,15.2,8,1,12.5,8
2024,5,25,10.1,8,1,18.4,8,0,8,1,3.4,8,13.4,8,1,6.9,8,23.2,8,1,24,8,13.4,8,1,12.6,8
2024,5,26,10.1,8,1,18.5,8,0,8,1,3.5,8,12.6,8,1,6.9,8,30.6,8,1,24,8,11.8,8,1,12.8,8
2024,5,27,10.1,8,1,18.6,8,0.5,8,1,3.5,8,0,8,1,6.8,8,25.1,8,1,24.1,8,17.9,8,1,13,8
2024,5,28,10.1,8,1,18.7,8,17.5,8,1,3.6,8,0.3,8,1,6.8,8,18.2,8,1,24.2,8,12.3,8,1,13.1,8
2024,5,29,10.1,8,1,18.8,8,0,8,1,3.6,8,12.2,8,1,6.8,8,21.9,8,1,24.3,8,11.6,8,1,13.3,8
2024,5,30,10.1,8,1,18.9,8,0,8,1,3.6,8,2,8,1,6.7,8,26.2,8,1,24.3,8,11,8,1,13.5,8
2024,5,31,10.1,8,1,19,8,1.5,8,1,3.6,8,3.8,8,1,6.7,8,22.8,8,1,24.4,8,13.1,8,1,13.6,8
2024,6,1,10.1,8,1,19.2,8,0,8,1,3.6,8,9.8,8,1,6.6,8,25.9,8,1,24.5,8,12,8,1,13.8,8
2024,6,2,10.1,8,1,19.3,8,2.5,8,1,3.6,8,7.5,8,1,6.6,8,22.5,8,1,24.7,8,12.4,8,1,14,8
